state_postal_code,state_fips_code,district_id,name,estimated_5_to_17_population,estimated_5_to_17_poverty_population,poverty_rate
AK,02,00600,Fairbanks North Star Borough School District,"15,871","1,379",8.69
AK,02,00130,Galena City School District,119,27,22.69
AK,02,00270,Haines Borough School District,276,46,16.67
AK,02,00300,Hoonah City School District,136,41,30.15
AK,02,00330,Hydaburg City School District,66,22,33.33
AK,02,00520,Iditarod Area School District,237,82,34.60
AK,02,00210,Juneau Borough School District,"5,012",392,7.82
AK,02,00360,Kake City School District,112,24,21.43
AK,02,00005,Kashunamiut School District,264,130,49.24
AK,02,00390,Kenai Peninsula Borough School District,"9,895","1,272",12.85
AK,02,00150,Ketchikan Gateway Borough School District,"2,177",254,11.67
AK,02,00450,Klawock City School District,123,23,18.70
AK,02,00480,Kodiak Island Borough School District,"2,277",175,7.69
AK,02,00760,Kuspuk School District,330,83,25.15
AK,02,00485,Lake and Peninsula Borough School District,282,79,28.01
AK,02,00001,Lower Kuskokwim School District,"3,880","1,016",26.19
AK,02,00003,Lower Yukon School District,"1,999",793,39.67
AK,02,00510,Matanuska-Susitna Borough School District,"21,940","2,286",10.42
AK,02,00540,Nenana City School District,76,17,22.37
AK,02,00570,Nome School District,790,113,14.30
AK,02,00610,North Slope Borough School District,"2,267",299,13.19
AK,02,00625,Northwest Arctic Borough School District,"2,004",503,25.10
AK,02,00630,Pelican City School District,12,2,16.67
AK,02,00660,Petersburg Borough School District,551,51,9.26
AK,02,00670,Pribilof School District,85,8,9.41
AK,02,00240,Sitka School District,"1,281",118,9.21
AK,02,00690,Skagway School District,129,10,7.75
AK,02,00700,Southeast Island School District,190,41,21.58
AK,02,00710,Southwest Region School District,647,251,38.79
AK,02,00680,St. Marys City School District,161,68,42.24
AK,02,00715,Tanana City School District,41,13,31.71
AK,02,00720,Unalaska City School District,351,15,4.27
AK,02,00780,Valdez City School District,673,47,6.98
AK,02,00810,Wrangell School District,300,47,15.67
AK,02,00840,Yakutat School District,111,19,17.12
AK,02,00775,Yukon Flats School District,243,49,20.16
AK,02,00862,Yukon-Koyukuk School District,389,123,31.62
AK,02,00004,Yupiit School District,445,143,32.13
AZ,04,00450,Agua Fria Union High School District,"9,391",871,9.27
AZ,04,00480,Aguila Elementary District,153,51,33.33
AZ,04,00520,Ajo Unified District,339,124,36.58
AZ,04,00600,Alhambra Elementary District,"14,488","4,362",30.11
AZ,04,00630,Alpine Elementary District,72,16,22.22
AZ,04,04770,Altar Valley Elementary District,"1,058",355,33.55
